_month,_year,Gross_sales_Amount
September,2019,9856552.5920
October,2019,10633112.0662
November,2019,11358334.3368
December,2019,11476154.5082
January,2020,9831171.1102
February,2020,9749154.3152
March,2020,2776850.2063
April,2020,5398419.1259
May,2020,5819774.8582
June,2020,7018095.9085
July,2020,9744082.6966
August,2020,9742551.3470
September,2020,16352024.9400
October,2020,16909875.4393
November,2020,17359092.2807
December,2020,17359382.0644
January,2021,16371539.2387
February,2021,16236723.9492
March,2021,16216652.8103
April,2021,16188258.6335
May,2021,16331110.0320
June,2021,16248559.3106
July,2021,16287627.9979
August,2021,16204470.4035
